variable_name;country;voivodship;entrants_status;sex;information_type_with_measure_unit;year;value;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;women;value [person];2020;6297;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;men;value [person];2021;5283;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;women;value [person];2021;6445;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;men;value [person];2022;5454;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;women;value [person];2022;6740;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;men;value [person];2023;5431;
Number of persons who took/passed a matriculation exam;Poland;Lubelskie;passed;women;value [person];2023;6534;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;men;value [person];2010;3745;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;women;value [person];2010;5079;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;men;value [person];2011;3351;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;women;value [person];2011;4439;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;men;value [person];2012;3203;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;women;value [person];2012;4353;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;men;value [person];2013;3121;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;women;value [person];2013;4222;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;men;value [person];2014;3028;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;women;value [person];2014;3959;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;men;value [person];2015;2811;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;women;value [person];2015;3532;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;men;value [person];2016;2520;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;women;value [person];2016;3244;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;men;value [person];2017;2687;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;women;value [person];2017;3272;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;men;value [person];2018;7219;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;women;value [person];2018;8531;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;men;value [person];2019;2585;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;women;value [person];2019;2978;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;men;value [person];2020;2807;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;women;value [person];2020;3296;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;men;value [person];2021;2780;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;women;value [person];2021;3469;
Number of persons who took/passed a matriculation exam;Poland;Lubuskie;took;men;value [person];2022;2648;
